pollster,numeric_grade,pollscore,transparency_score,candidate_name,pct,date
Christopher Newport U.,2.9,-0.7,5.2,Kamala Harris,45.58,2024-07-25
Marist,2.9,-0.9,5,Kamala Harris,56.44,2024-07-09
McCourtney Institute/YouGov,2.8,-0.3,8.7,Kamala Harris,51.88,2024-08-12
Muhlenberg,2.8,-1.5,4.6,Kamala Harris,49.32,2024-08-25
YouGov,2.8,-0.1,5.2,Kamala Harris,56.87,2024-08-24
Marquette Law School,3,-0.6,6.3,Kamala Harris,52.08,2024-09-12
AtlasIntel,2.8,-0.7,8.9,Kamala Harris,49.75,2024-07-05
Beacon/Shaw,2.9,-1.5,9.5,Kamala Harris,50.76,2024-08-30
Washington Post/George Mason University,2.9,-0.2,7,Kamala Harris,40.58,2024-07-17
McCourtney Institute/YouGov,2.7,-1.4,5,Kamala Harris,64.16,2024-09-14
YouGov,2.8,-0.7,8.1,Kamala Harris,45.93,2024-08-13
Emerson,2.9,-1,8.8,Kamala Harris,49.12,2024-09-01
SurveyUSA,2.8,-1,4.8,Donald Trump,45.63,2024-09-15
The Washington Post,2.9,-0.6,9.3,Kamala Harris,55.33,2024-08-01
McCourtney Institute/YouGov,2.7,-1,7.2,Donald Trump,52.33,2024-08-18
YouGov/Center for Working Class Politics,3,-0.2,5.2,Donald Trump,49.18,2024-09-05
Siena/NYT,3,-0.2,7.7,Kamala Harris,46.99,2024-08-06
Echelon Insights,3,-1.3,9.7,Donald Trump,41.43,2024-09-05
Data Orbital,2.9,-0.7,9.8,Kamala Harris,55.04,2024-07-22
MassINC Polling Group,2.8,-0.1,8.8,Kamala Harris,46.12,2024-08-05
Siena/NYT,2.8,-0.3,9.2,Donald Trump,50.01,2024-07-28
Ipsos,2.9,-1.3,9.5,Donald Trump,51.62,2024-09-08
YouGov,2.8,-0.7,6.4,Donald Trump,48.04,2024-07-03
YouGov/Center for Working Class Politics,3,-1,8.5,Donald Trump,46.6,2024-07-31
YouGov Blue,2.8,-1.2,9.9,Kamala Harris,41.16,2024-08-20
Emerson,3,-0.9,7.1,Donald Trump,49.19,2024-08-06
Quinnipiac,2.8,-0.7,5,Donald Trump,41.4,2024-07-22
Beacon/Shaw,2.8,-0.3,9.3,Donald Trump,52.22,2024-07-28
SurveyUSA,2.8,-1.2,8.1,Kamala Harris,47.48,2024-08-08
YouGov,2.7,-0.3,7,Kamala Harris,49.71,2024-07-06
Washington Post/George Mason University,2.9,-1.5,8,Kamala Harris,59.65,2024-08-06
